shipment_id,order_id,ship_date,delivery_date,carrier,shipping_cost,delivery_status
SHP000081,ORD000081,01-05-2024,2024/05/08,xpressbees,355.68,In Transit
SHP000082,ORD000082,2023-11-13,14/11/2023,indiapost,533.64,Delayed
SHP000083,ORD000083,2024-12-17,2024/12/27,EKART,697.94,Lost
SHP000084,ORD000084,05/11/2022,18-05-2022,xpressbees,517.91,Returned to Origin
SHP000085,ORD000085,0000-00-00,17/05/2023,fedex,391.85,Lost
SHP000086,ORD000086,06-05-2022,2022/05/10,EKART,292.5,Lost
SHP000087,ORD000087,20-05-2023,05/24/2023,ekart,792.53,returned to origin
SHP000088,ORD000088,2022/09/10,11-09-2022,IndiaPost,199.24,Lost
SHP000089,ORD000089,24/10/2024,2024/10/27,FedEx,868.35,Delivered
SHP000090,ORD000090,08/30/2023,2023/09/02,IndiaPost,116.79,IN TRANSIT
SHP000091,ORD000091,2023/12/05,12/12/2023,DTDC,35.22,Lost
SHP000092,ORD000092,26-04-2022,04/29/2022,IndiaPost,195.29,Delayed
SHP000093,ORD000093,09/05/2024,11/09/2024,Ekart,400.83,DELIVERED
SHP000094,ORD000094,2024-05-15,18 May 2024,XpressBees,,In Transit
SHP000095,ORD000095,27 Jan 2024,31/01/2024,INDIAPOST,647.8,returned to origin
SHP000096,ORD000096,23-06-2022,03 Jul 2022,Ekart,34.7,IN TRANSIT
SHP000097,ORD000097,2022/09/30,2022-10-02,DTDC,354.31,lost
SHP000098,ORD000098,04/09/2022,2022-09-09,XpressBees,31.96,Returned to Origin
SHP000099,ORD000099,2024-12-20,2025-01-04,FedEx,56.67,Delivered
SHP000100,ORD000100,2024/08/17,2024/08/21,XpressBees,330.89,DELAYED
SHP000101,ORD000101,19 Jun 2023,2023/06/21,Delhivery,460.38,In Transit
SHP000102,ORD000102,2023-09-07,11/09/2023,BlueDart,788.74,Returned to Origin
SHP000103,ORD000103,29 Mar 2024,2024-04-13,DTDC,554.89,Delivered
SHP000104,ORD000104,,05/19/2024,XpressBees,552.41,IN TRANSIT
SHP000105,ORD000105,16-09-2023,2023-09-24,IndiaPost,38.48,Returned to Origin
SHP000106,ORD000106,08/02/2024,03-08-2024,delhivery,461.33,Delayed
SHP000107,ORD000107,2024-04-24,25 Apr 2024,Delhivery,359.04,Delivered
SHP000108,ORD000108,2024-10-06,10 Oct 2024,Delhivery,645.47,Lost
SHP000109,ORD000109,10/15/2024,2024-10-18,Ekart,796.56,in transit
SHP000110,ORD000110,2024-08-25,2024-08-28,FedEx,379.53,IN TRANSIT
SHP000111,ORD000111,2024/04/30,10 May 2024,DTDC,331.53,In Transit
SHP000112,ORD000112,19 Mar 2024,24 Mar 2024,Ekart,95.24,Lost
SHP000113,ORD000113,01/12/2023,15-01-2023,IndiaPost,743.6,Lost
SHP000114,ORD000114,24/07/2024,29 Jul 2024,FedEx,869.41,LOST
SHP000115,ORD000115,2022-08-25,2022-08-28,FEDEX,826.54,Returned to Origin
SHP000116,ORD000116,2024-07-09,19 Jul 2024,FEDEX,331.69,Delivered
SHP000117,ORD000117,2022/02/01,2022/02/11,Ekart,794.75,Delayed
SHP000118,ORD000118,2022/03/27,2022-03-30,Ekart,889.35,Delayed
SHP000119,ORD000119,2022/04/07,0000-00-00,IndiaPost,706.45,Lost
SHP000120,ORD000120,2023/08/28,05/09/2023,Ekart,30.14,LOST
SHP000121,ORD000121,08-07-2024,2024/07/14,indiapost,367.42,In Transit
SHP000122,ORD000122,14/11/2024,11/29/2024,FedEx,685.38,In Transit
SHP000123,ORD000123,08 Sep 2022,11-09-2022,XpressBees,845.32,Delivered
SHP000124,ORD000124,2024-08-25,08/27/2024,BLUEDART,94.07,Lost
SHP000125,ORD000125,06/09/2024,16/06/2024,delhivery,854.98,In Transit
SHP000126,ORD000126,20-05-2024,26 May 2024,XpressBees,226.69,Delayed
SHP000127,ORD000127,08 Mar 2023,13-03-2023,FedEx,152.08,In Transit
SHP000128,ORD000128,2024/07/12,2024-07-15,DTDC,697.04,DELAYED
SHP000129,ORD000129,09 Feb 2023,2023-02-10,XpressBees,618.1,Returned to Origin
SHP000130,ORD000130,06/28/2022,06/07/2022,IndiaPost,516.11,Returned to Origin
SHP000131,ORD000131,20/05/2022,2022-05-23,fedex,226.55,Lost
SHP000132,ORD000132,06/29/2023,2023-06-30,DELHIVERY,,Delayed
SHP000133,ORD000133,05/09/2024,12/05/2024,DTDC,254.04,Lost
SHP000134,ORD000134,01 Mar 2023,2023/03/16,ekart,240.3,LOST
SHP000135,ORD000135,06/23/2022,24-06-2022,DTDC,638.58,In Transit
SHP000136,ORD000136,,01/06/2023,dtdc,297.63,In Transit
SHP000137,ORD000137,2022/08/01,16 Aug 2022,Delhivery,425.57,Returned to Origin
SHP000138,ORD000138,2024/10/02,12-10-2024,IndiaPost,878.74,RETURNED TO ORIGIN
SHP000139,ORD000139,02 Jan 2023,2023/01/07,BlueDart,473.02,In Transit
SHP000140,ORD000140,2022/07/06,11-07-2022,IndiaPost,174.3,Lost
SHP000141,ORD000141,04/02/2023,2023/04/10,Ekart,633.5,returned to origin
SHP000142,ORD000142,2022-06-12,2022/06/17,FedEx,156.28,In Transit
SHP000143,ORD000143,14 Sep 2023,2023/09/17,DTDC,620.2,Returned to Origin
SHP000144,ORD000144,14 Jun 2024,16 Jun 2024,INDIAPOST,848.57,In Transit
SHP000145,ORD000145,06/23/2022,03-07-2022,XPRESSBEES,133.57,DELIVERED
SHP000146,ORD000146,2024-01-14,0000-00-00,INDIAPOST,221.19,Delayed
SHP000147,ORD000147,2024-07-01,07/04/2024,dtdc,733.01,lost
SHP000148,ORD000148,2022/10/08,2022/10/15,BLUEDART,529.06,In Transit
SHP000149,ORD000149,15/02/2024,19-02-2024,XpressBees,346.95,Delivered
SHP000150,ORD000150,2024-10-26,02-11-2024,Delhivery,110.38,Delayed
SHP000151,ORD000151,25-06-2022,02-07-2022,DTDC,267.7,Returned to Origin
SHP000152,ORD000152,2024/11/30,06-12-2024,XpressBees,576.55,In Transit
SHP000153,ORD000153,26/07/2023,2023-07-27,ekart,38.48,In Transit
SHP000154,ORD000154,08/11/2023,2023/11/18,Ekart,567.83,delivered
SHP000155,ORD000155,2022-03-29,13 Apr 2022,BlueDart,803.3,In Transit
SHP000156,ORD000156,07/04/2022,22-04-2022,Delhivery,503.33,Delayed
SHP000157,ORD000157,15/02/2024,2024/02/18,dtdc,298.72,Returned to Origin
SHP000158,ORD000158,2024-02-03,06/02/2024,XpressBees,610.42,Lost
SHP000159,ORD000159,2022/03/17,03/24/2022,BlueDart,98.94,LOST
SHP000160,ORD000160,2023/01/07,2023-01-15,XpressBees,458.52,Delayed
SHP000161,ORD000161,09/16/2024,2024-09-17,Delhivery,278.14,Returned to Origin
SHP000162,ORD000162,10-09-2024,15 Sep 2024,XpressBees,256.35,In Transit
SHP000163,ORD000163,09/29/2023,03/10/2023,XpressBees,857.43,Delayed
SHP000164,ORD000164,19 May 2022,27 May 2022,BlueDart,344.13,Delivered
SHP000165,ORD000165,05/15/2024,05/18/2024,IndiaPost,611.34,Delivered
SHP000166,ORD000166,04/03/2022,09/03/2022,FEDEX,501.15,LOST
SHP000167,ORD000167,2022/03/17,01 Apr 2022,IndiaPost,724.43,Delayed
SHP000168,ORD000168,2024-09-04,,Delhivery,853.75,Returned to Origin
SHP000169,ORD000169,2023-12-15,12/22/2023,FedEx,289.13,Delivered
SHP000170,ORD000170,25/08/2023,31/08/2023,DTDC,522.92,In Transit
SHP000171,ORD000171,2024/09/23,09/26/2024,XpressBees,366.8,In Transit
SHP000172,ORD000172,05 Oct 2022,2022/10/12,FEDEX,571.58,In Transit
SHP000173,ORD000173,,2024-11-03,BlueDart,389.62,In Transit
SHP000174,ORD000174,2022/03/05,15/03/2022,EKART,555.45,Lost
SHP000175,ORD000175,02-06-2023,10 Jun 2023,BlueDart,,Delayed
SHP000176,ORD000176,2023-03-15,20 Mar 2023,IndiaPost,659.41,Lost
SHP000177,ORD000177,2024/09/12,2024-09-14,XpressBees,647.44,Delayed
SHP000178,ORD000178,2023/05/17,25/05/2023,Delhivery,746.12,LOST
SHP000179,ORD000179,23-03-2023,2023-03-29,Ekart,591.83,Delayed
SHP000180,ORD000180,26 Dec 2023,01/03/2024,XpressBees,661.69,Delayed
SHP000181,ORD000181,02/21/2022,27/02/2022,DELHIVERY,775.51,Returned to Origin
SHP000182,ORD000182,2022-10-22,30/10/2022,INDIAPOST,487.81,Returned to Origin
SHP000183,ORD000183,2024/06/16,2024-06-24,XpressBees,620.22,Lost
SHP000184,ORD000184,2023-04-15,20-04-2023,DTDC,790.39,Delayed
SHP000185,ORD000185,16/03/2022,03/17/2022,Ekart,811.3,In Transit
SHP000186,ORD000186,20/06/2022,2022/06/25,DTDC,585.14,Returned to Origin
SHP000187,ORD000187,21-09-2023,22 Sep 2023,Delhivery,674.11,in transit
SHP000188,ORD000188,13-02-2022,02/23/2022,BlueDart,533.96,Delayed
SHP000189,ORD000189,2024-05-08,18/05/2024,IndiaPost,769.28,Lost
SHP000190,ORD000190,06/09/2022,17-06-2022,XpressBees,662.42,RETURNED TO ORIGIN
SHP000191,ORD000191,13-01-2023,2023/01/28,BLUEDART,198.83,DELAYED
SHP000192,ORD000192,07/11/2022,07/17/2022,DTDC,799.03,Delivered
SHP000193,ORD000193,2023-09-04,2023/09/12,IndiaPost,650.13,Returned to Origin
SHP000194,ORD000194,11/09/2022,15-09-2022,dtdc,839.74,Returned to Origin
SHP000195,ORD000195,13 May 2023,05/17/2023,XpressBees,750.9,In Transit
SHP000196,ORD000196,,2022-09-29,FedEx,494.08,Delayed
SHP000197,ORD000197,2024/06/01,06 Jun 2024,fedex,418.41,In Transit
SHP000198,ORD000198,03-12-2023,2023/12/09,Delhivery,609.25,delivered
SHP000199,ORD000199,2024/04/17,2024/04/20,IndiaPost,301.56,Delayed
SHP000200,ORD000200,07/24/2022,25 Jul 2022,BlueDart,480.89,In Transit
SHP000201,ORD000201,,24 Sep 2022,DTDC,392.44,In Transit
SHP000202,ORD000202,2023-05-19,20 May 2023,Delhivery,241.65,Lost
SHP000203,ORD000203,10/22/2024,10/30/2024,FedEx,133.43,delivered
SHP000204,ORD000204,12/07/2023,09-12-2023,delhivery,315.97,Lost
SHP000205,ORD000205,03/15/2024,30/03/2024,DTDC,70.94,RETURNED TO ORIGIN
SHP000206,ORD000206,2022/06/02,06/03/2022,Ekart,270.45,Lost
SHP000207,ORD000207,04/26/2024,30-04-2024,XPRESSBEES,878.75,Lost
SHP000208,ORD000208,17/01/2022,01/20/2022,FedEx,517.0,Delivered
SHP000209,ORD000209,08/01/2022,01/11/2022,XPRESSBEES,767.99,Lost
SHP000210,ORD000210,2024/12/24,,FedEx,748.95,IN TRANSIT
SHP000211,ORD000211,05/20/2023,26 May 2023,DTDC,335.34,in transit
SHP000212,ORD000212,27/07/2022,08/11/2022,Ekart,157.36,Returned to Origin
SHP000213,ORD000213,10/25/2022,10/29/2022,DTDC,39.63,Lost
SHP000214,ORD000214,06 Oct 2024,12-10-2024,BlueDart,392.14,delayed
SHP000215,ORD000215,24-05-2022,2022/05/27,INDIAPOST,683.28,Delivered
SHP000216,ORD000216,13/01/2022,01/23/2022,DTDC,556.54,Returned to Origin
SHP000217,ORD000217,26/02/2022,03 Mar 2022,FedEx,307.76,Returned to Origin
SHP000218,ORD000218,2024/07/26,29/07/2024,DELHIVERY,777.6,Delivered
SHP000219,ORD000219,16/11/2023,17-11-2023,FedEx,322.38,Lost
SHP000220,ORD000220,2022/10/03,2022-10-08,EKART,435.0,Lost
SHP000221,ORD000221,12/02/2022,18-02-2022,INDIAPOST,639.39,Returned to Origin
SHP000222,ORD000222,04/13/2023,2023-04-19,ekart,240.29,Returned to Origin
SHP000223,ORD000223,06/17/2023,02/07/2023,Ekart,338.96,In Transit
SHP000224,ORD000224,11 Aug 2023,16-08-2023,IndiaPost,645.92,delivered
SHP000225,ORD000225,2024/02/28,03/05/2024,IndiaPost,747.43,DELIVERED
SHP000226,ORD000226,2023/10/12,10/19/2023,FedEx,693.82,Delivered
SHP000227,ORD000227,03/09/2022,2022/03/13,Ekart,700.5,In Transit
SHP000228,ORD000228,2023-10-21,31 Oct 2023,ekart,848.42,Delayed
SHP000229,ORD000229,23 Nov 2023,29-11-2023,FedEx,686.41,In Transit
SHP000230,ORD000230,22/08/2023,25/08/2023,XpressBees,626.21,Delivered
SHP000231,ORD000231,10/20/2022,25-10-2022,FedEx,239.16,Returned to Origin
SHP000232,ORD000232,0000-00-00,16 May 2024,FEDEX,491.21,In Transit
SHP000233,ORD000233,23/09/2024,10/03/2024,FEDEX,634.57,Delayed
SHP000234,ORD000234,17-11-2024,20 Nov 2024,Ekart,249.79,DELAYED
SHP000235,ORD000235,2024-09-06,2024-09-12,bluedart,,Delayed
SHP000236,ORD000236,09/01/2024,2024-09-04,Delhivery,168.51,In Transit
SHP000237,ORD000237,0000-00-00,23-05-2024,DTDC,627.86,Delayed
SHP000238,ORD000238,2023-10-30,11/03/2023,DELHIVERY,155.89,In Transit
SHP000239,ORD000239,03/24/2022,27/03/2022,DTDC,36.57,In Transit
SHP000240,ORD000240,2023-07-24,29-07-2023,Ekart,588.97,Delayed
SHP000241,ORD000241,2023-08-30,2023/09/05,IndiaPost,534.76,Returned to Origin
SHP000242,ORD000242,14/11/2024,15/11/2024,FedEx,562.45,In Transit
SHP000243,ORD000243,2024/09/21,2024-09-26,xpressbees,529.31,DELAYED
SHP000244,ORD000244,24/01/2024,01/28/2024,IndiaPost,598.82,returned to origin
SHP000245,ORD000245,09/02/2024,08-09-2024,Ekart,225.29,Lost
SHP000246,ORD000246,2022-04-09,10/04/2022,Delhivery,153.36,Delayed
SHP000247,ORD000247,2024/09/24,04/10/2024,IndiaPost,600.86,In Transit
SHP000248,ORD000248,01/12/2024,2024-01-13,dtdc,142.69,DELAYED
SHP000249,ORD000249,2024-02-01,03-02-2024,Delhivery,263.87,In Transit
SHP000250,ORD000250,2024-02-26,27 Feb 2024,DTDC,618.86,DELIVERED
SHP000251,ORD000251,2024/07/04,06-07-2024,BlueDart,102.53,In Transit
SHP000252,ORD000252,2022-03-12,15-03-2022,Ekart,402.41,Lost
SHP000253,ORD000253,30 May 2023,2023-06-02,Delhivery,198.82,In Transit
SHP000254,ORD000254,05/09/2022,09-09-2022,DTDC,719.15,delivered
SHP000255,ORD000255,05/05/2022,10 May 2022,IndiaPost,657.82,Delayed
SHP000256,ORD000256,2023-02-28,,IndiaPost,222.03,In Transit
SHP000257,ORD000257,01/20/2023,2023-01-23,Ekart,92.03,delayed
SHP000258,ORD000258,2024-07-31,2024/08/07,Delhivery,48.39,Lost
SHP000259,ORD000259,2022/03/23,26-03-2022,EKART,273.56,DELIVERED
SHP000260,ORD000260,2022/04/01,04/08/2022,IndiaPost,359.03,in transit
SHP000261,ORD000261,28/05/2023,05/31/2023,Delhivery,677.16,Lost
SHP000262,ORD000262,13/05/2022,18/05/2022,DTDC,782.77,In Transit
SHP000263,ORD000263,03/09/2024,2024/03/16,XpressBees,873.64,In Transit
SHP000264,ORD000264,13-08-2022,28/08/2022,IndiaPost,133.19,Lost
SHP000265,ORD000265,2023-09-18,0000-00-00,XpressBees,,DELAYED
SHP000266,ORD000266,03/20/2022,2022/03/25,DELHIVERY,187.2,In Transit
SHP000267,ORD000267,02/19/2024,26 Feb 2024,Delhivery,69.57,Lost
SHP000268,ORD000268,15 Feb 2024,01/03/2024,IndiaPost,130.51,Returned to Origin
SHP000269,ORD000269,04-02-2024,07/02/2024,IndiaPost,185.42,Delivered
SHP000270,ORD000270,16/07/2023,2023-07-21,DTDC,658.6,delayed
SHP000271,ORD000271,06/11/2023,2023-11-08,DELHIVERY,848.32,DELAYED
SHP000272,ORD000272,03-06-2023,09/06/2023,FEDEX,409.17,In Transit
SHP000273,ORD000273,07/23/2022,26/07/2022,IndiaPost,540.92,Delivered
SHP000274,ORD000274,12/09/2022,11/12/2022,indiapost,802.73,returned to origin
SHP000275,ORD000275,0000-00-00,26-04-2024,Ekart,707.82,Delivered
SHP000276,ORD000276,02/11/2022,21 Feb 2022,BLUEDART,814.47,returned to origin
SHP000277,ORD000277,13-05-2024,2024/05/17,delhivery,,Returned to Origin
SHP000278,ORD000278,2022-06-21,26-06-2022,BlueDart,213.74,Returned to Origin
SHP000279,ORD000279,12 Dec 2023,20-12-2023,XpressBees,,returned to origin
SHP000280,ORD000280,05/02/2022,13/02/2022,bluedart,136.86,DELIVERED
SHP000281,ORD000281,08/24/2023,2023-08-29,BLUEDART,144.4,Delivered
SHP000282,ORD000282,07 Aug 2023,12-08-2023,DTDC,507.91,Delivered
SHP000283,ORD000283,21 Nov 2023,2023-12-01,DTDC,387.49,In Transit
SHP000284,ORD000284,11 Aug 2022,2022-08-17,DTDC,352.4,delivered
SHP000285,ORD000285,2022/03/25,26 Mar 2022,Ekart,436.42,In Transit
SHP000286,ORD000286,2022-12-12,12/15/2022,XpressBees,786.57,Returned to Origin
SHP000287,ORD000287,09/06/2023,2023-06-11,BlueDart,575.23,Lost
SHP000288,ORD000288,2022/09/22,25/09/2022,DELHIVERY,731.02,DELAYED
SHP000289,ORD000289,2023/03/25,2023-03-29,BlueDart,719.0,IN TRANSIT
SHP000290,ORD000290,30 Sep 2023,2023/10/04,FedEx,173.94,Returned to Origin
SHP000291,ORD000291,28 Dec 2024,01/05/2025,BlueDart,519.49,Delivered
SHP000292,ORD000292,15/03/2022,2022/03/18,XpressBees,870.4,Lost
SHP000293,ORD000293,2024/11/21,29 Nov 2024,DTDC,523.48,delayed
SHP000294,ORD000294,2023-03-05,03/20/2023,delhivery,738.98,Returned to Origin
SHP000295,ORD000295,17-06-2022,22-06-2022,INDIAPOST,447.35,In Transit
SHP000296,ORD000296,09-12-2022,2022-12-13,Ekart,658.76,delivered
SHP000297,ORD000297,2023-08-02,05/08/2023,BLUEDART,30.12,Lost
SHP000298,ORD000298,2022-02-12,27/02/2022,INDIAPOST,190.55,Delayed
SHP000299,ORD000299,2024-11-29,2024/12/04,XpressBees,894.33,Delayed
SHP000300,ORD000300,04 Nov 2022,2022-11-14,DTDC,374.52,DELIVERED
SHP000301,ORD000301,2023/12/22,27 Dec 2023,Ekart,236.62,returned to origin
SHP000302,ORD000302,2022/02/18,2022/03/05,FedEx,702.76,IN TRANSIT
SHP000303,ORD000303,2024/07/25,09/08/2024,BlueDart,500.07,Delayed
SHP000304,ORD000304,03/10/2023,2023-03-16,DELHIVERY,887.34,Delivered
SHP000305,ORD000305,2024/11/27,2024-11-30,INDIAPOST,839.17,Returned to Origin
SHP000306,ORD000306,05/04/2023,2023/05/10,FedEx,351.64,Returned to Origin
SHP000307,ORD000307,2023/07/03,07/09/2023,delhivery,736.28,in transit
SHP000308,ORD000308,14 Sep 2022,18-09-2022,XpressBees,418.98,Delivered
SHP000309,ORD000309,,22-11-2022,Delhivery,731.54,DELIVERED
SHP000310,ORD000310,29-08-2024,2024/09/13,Ekart,143.24,Delayed
SHP000311,ORD000311,2023-04-16,2023-04-18,FedEx,662.21,Returned to Origin
SHP000312,ORD000312,2023-04-17,20-04-2023,delhivery,565.33,in transit
SHP000313,ORD000313,03/29/2024,31-03-2024,delhivery,532.21,In Transit
SHP000314,ORD000314,2022/06/03,06/05/2022,DTDC,854.3,Delayed
SHP000315,ORD000315,12/17/2024,0000-00-00,BlueDart,677.15,Delayed
SHP000316,ORD000316,21/06/2022,2022/06/24,IndiaPost,305.23,Lost
SHP000317,ORD000317,25/06/2022,27-06-2022,Ekart,357.41,Delivered
SHP000318,ORD000318,2023-04-19,04/05/2023,ekart,298.51,Lost
SHP000319,ORD000319,13/09/2023,28-09-2023,INDIAPOST,248.4,Returned to Origin
SHP000320,ORD000320,2024-04-07,15 Apr 2024,FedEx,867.78,returned to origin
SHP000321,ORD000321,25-04-2023,2023/05/03,Ekart,861.83,In Transit
SHP000322,ORD000322,16 Mar 2022,22-03-2022,FedEx,551.55,Delayed
SHP000323,ORD000323,2024-07-23,2024-08-02,IndiaPost,264.29,in transit
SHP000324,ORD000324,,2023/09/19,FedEx,210.82,In Transit
SHP000325,ORD000325,09-05-2022,12 May 2022,BlueDart,768.94,Lost
SHP000326,ORD000326,11/01/2023,12/01/2023,fedex,,Delayed
SHP000327,ORD000327,2024/02/06,21 Feb 2024,EKART,511.57,In Transit
SHP000328,ORD000328,17/08/2024,08/21/2024,FEDEX,524.36,in transit
SHP000329,ORD000329,2024/04/27,03 May 2024,INDIAPOST,441.63,delivered
SHP000330,ORD000330,2024-09-02,2024-09-17,xpressbees,547.97,delivered
SHP000331,ORD000331,11-02-2022,12-02-2022,Ekart,61.43,In Transit
SHP000332,ORD000332,30-05-2022,05-06-2022,FedEx,223.8,in transit
SHP000333,ORD000333,10 Mar 2023,03/14/2023,ekart,699.68,in transit
SHP000334,ORD000334,2023/09/27,04/10/2023,bluedart,259.21,Delivered
