shipment_id,order_id,ship_date,delivery_date,carrier,shipping_cost,delivery_status,delivery_days,ship_month
Shp000042,Ord000042,2024-07-27,2024-08-02,Delhivery,514.44,Returned To Origin,6,2024-07
Shp000043,Ord000043,2023-08-11,2023-08-13,Indiapost,490.7,Lost,2,2023-08
Shp000044,Ord000044,2023-08-29,2023-08-31,Indiapost,381.32,Returned To Origin,2,2023-08
Shp000045,Ord000045,2024-03-25,2024-03-30,Indiapost,565.55,Returned To Origin,5,2024-03
Shp000046,Ord000046,2024-08-01,2024-08-11,Fedex,888.48,Delayed,10,2024-08
Shp000047,Ord000047,2022-01-22,2022-01-27,Bluedart,298.22,Lost,5,2022-01
Shp000048,Ord000048,2022-10-17,2022-10-24,Xpressbees,388.57,Lost,7,2022-10
Shp000049,Ord000049,2023-09-14,2023-09-16,Ekart,,Delivered,2,2023-09
Shp000050,Ord000050,2022-09-04,2022-09-09,Ekart,109.36,Lost,5,2022-09
Shp000051,Ord000051,2023-05-13,2023-05-16,Ekart,794.94,Returned To Origin,3,2023-05
Shp000052,Ord000052,2024-12-13,2024-12-18,Fedex,144.73,Returned To Origin,5,2024-12
Shp000053,Ord000053,2022-04-03,2022-04-06,Delhivery,330.7,Delayed,3,2022-04
Shp000054,Ord000054,2024-10-06,2024-10-09,Indiapost,89.65,In Transit,3,2024-10
Shp000055,Ord000055,2024-10-20,2024-10-21,Ekart,63.91,Delivered,1,2024-10
Shp000056,Ord000056,2022-05-23,2022-05-27,Indiapost,221.49,Delivered,4,2022-05
Shp000057,Ord000057,2022-02-19,2022-02-22,Bluedart,95.65,Lost,3,2022-02
Shp000058,Ord000058,2023-03-12,2023-03-15,Bluedart,176.43,Delayed,3,2023-03
Shp000060,Ord000060,2024-01-15,2024-01-16,Xpressbees,65.19,Delivered,1,2024-01
Shp000061,Ord000061,2024-01-16,2024-01-19,Fedex,152.75,Delayed,3,2024-01
Shp000062,Ord000062,2024-12-13,2024-12-16,Xpressbees,395.69,Delayed,3,2024-12
Shp000063,Ord000063,2022-09-01,2022-09-16,Ekart,853.28,Lost,15,2022-09
Shp000064,Ord000064,2023-03-16,2023-03-17,Delhivery,689.17,In Transit,1,2023-03
Shp000065,Ord000065,2024-08-04,2024-08-09,Bluedart,870.28,In Transit,5,2024-08
Shp000067,Ord000067,2023-12-26,2023-12-29,Ekart,544.13,Delivered,3,2023-12
Shp000068,Ord000068,2023-01-05,2023-01-08,Bluedart,70.51,Lost,3,2023-01
Shp000069,Ord000069,2024-04-14,2024-04-16,Indiapost,291.27,Delivered,2,2024-04
Shp000070,Ord000070,2022-03-18,2022-03-24,Ekart,274.73,In Transit,6,2022-03
Shp000071,Ord000071,2024-05-26,2024-05-29,Delhivery,112.3,Delivered,3,2024-05
Shp000072,Ord000072,2022-06-18,2022-06-20,Indiapost,59.74,Returned To Origin,2,2022-06
Shp000073,Ord000073,2023-02-18,2023-02-21,Xpressbees,491.29,In Transit,3,2023-02
Shp000074,Ord000074,2022-11-14,2022-11-19,Delhivery,598.27,Delayed,5,2022-11
Shp000075,Ord000075,2024-06-02,2024-06-05,Delhivery,234.96,Returned To Origin,3,2024-06
Shp000076,Ord000076,2023-01-14,2023-01-18,Delhivery,265.67,Delivered,4,2023-01
Shp000078,Ord000078,2022-05-24,2022-05-25,Dtdc,480.59,Delayed,1,2022-05
Shp000079,Ord000079,2024-09-10,2024-09-14,Xpressbees,812.51,Delayed,4,2024-09
Shp000080,Ord000080,2022-12-10,2022-12-12,Indiapost,885.28,Delivered,2,2022-12
Shp000081,Ord000081,2024-05-01,2024-05-08,Xpressbees,355.68,In Transit,7,2024-05
Shp000082,Ord000082,2023-11-13,2023-11-14,Indiapost,533.64,Delayed,1,2023-11
Shp000083,Ord000083,2024-12-17,2024-12-27,Ekart,697.94,Lost,10,2024-12
Shp000086,Ord000086,2022-05-06,2022-05-10,Ekart,292.5,Lost,4,2022-05
Shp000087,Ord000087,2023-05-20,2023-05-24,Ekart,792.53,Returned To Origin,4,2023-05
Shp000088,Ord000088,2022-09-10,2022-09-11,Indiapost,199.24,Lost,1,2022-09
Shp000089,Ord000089,2024-10-24,2024-10-27,Fedex,868.35,Delivered,3,2024-10
Shp000090,Ord000090,2023-08-30,2023-09-02,Indiapost,116.79,In Transit,3,2023-08
Shp000091,Ord000091,2023-12-05,2023-12-12,Dtdc,35.22,Lost,7,2023-12
Shp000092,Ord000092,2022-04-26,2022-04-29,Indiapost,195.29,Delayed,3,2022-04
Shp000094,Ord000094,2024-05-15,2024-05-18,Xpressbees,,In Transit,3,2024-05
Shp000095,Ord000095,2024-01-27,2024-01-31,Indiapost,647.8,Returned To Origin,4,2024-01
Shp000096,Ord000096,2022-06-23,2022-07-03,Ekart,34.7,In Transit,10,2022-06
Shp000097,Ord000097,2022-09-30,2022-10-02,Dtdc,354.31,Lost,2,2022-09
Shp000098,Ord000098,2022-09-04,2022-09-09,Xpressbees,31.96,Returned To Origin,5,2022-09
Shp000099,Ord000099,2024-12-20,2025-01-04,Fedex,56.67,Delivered,15,2024-12
Shp000100,Ord000100,2024-08-17,2024-08-21,Xpressbees,330.89,Delayed,4,2024-08
Shp000101,Ord000101,2023-06-19,2023-06-21,Delhivery,460.38,In Transit,2,2023-06
Shp000102,Ord000102,2023-09-07,2023-09-11,Bluedart,788.74,Returned To Origin,4,2023-09
Shp000103,Ord000103,2024-03-29,2024-04-13,Dtdc,554.89,Delivered,15,2024-03
Shp000105,Ord000105,2023-09-16,2023-09-24,Indiapost,38.48,Returned To Origin,8,2023-09
Shp000107,Ord000107,2024-04-24,2024-04-25,Delhivery,359.04,Delivered,1,2024-04
Shp000108,Ord000108,2024-10-06,2024-10-10,Delhivery,645.47,Lost,4,2024-10
Shp000109,Ord000109,2024-10-15,2024-10-18,Ekart,796.56,In Transit,3,2024-10
Shp000110,Ord000110,2024-08-25,2024-08-28,Fedex,379.53,In Transit,3,2024-08
Shp000111,Ord000111,2024-04-30,2024-05-10,Dtdc,331.53,In Transit,10,2024-04
Shp000112,Ord000112,2024-03-19,2024-03-24,Ekart,95.24,Lost,5,2024-03
Shp000114,Ord000114,2024-07-24,2024-07-29,Fedex,869.41,Lost,5,2024-07
Shp000115,Ord000115,2022-08-25,2022-08-28,Fedex,826.54,Returned To Origin,3,2022-08
Shp000116,Ord000116,2024-07-09,2024-07-19,Fedex,331.69,Delivered,10,2024-07
Shp000117,Ord000117,2022-02-01,2022-02-11,Ekart,794.75,Delayed,10,2022-02
Shp000118,Ord000118,2022-03-27,2022-03-30,Ekart,889.35,Delayed,3,2022-03
Shp000120,Ord000120,2023-08-28,2023-09-05,Ekart,30.14,Lost,8,2023-08
Shp000121,Ord000121,2024-07-08,2024-07-14,Indiapost,367.42,In Transit,6,2024-07
Shp000122,Ord000122,2024-11-14,2024-11-29,Fedex,685.38,In Transit,15,2024-11
Shp000123,Ord000123,2022-09-08,2022-09-11,Xpressbees,845.32,Delivered,3,2022-09
Shp000124,Ord000124,2024-08-25,2024-08-27,Bluedart,94.07,Lost,2,2024-08
Shp000126,Ord000126,2024-05-20,2024-05-26,Xpressbees,226.69,Delayed,6,2024-05
Shp000127,Ord000127,2023-03-08,2023-03-13,Fedex,152.08,In Transit,5,2023-03
Shp000128,Ord000128,2024-07-12,2024-07-15,Dtdc,697.04,Delayed,3,2024-07
Shp000129,Ord000129,2023-02-09,2023-02-10,Xpressbees,618.1,Returned To Origin,1,2023-02
Shp000130,Ord000130,2022-06-28,2022-07-06,Indiapost,516.11,Returned To Origin,8,2022-06
Shp000131,Ord000131,2022-05-20,2022-05-23,Fedex,226.55,Lost,3,2022-05
Shp000132,Ord000132,2023-06-29,2023-06-30,Delhivery,,Delayed,1,2023-06
Shp000134,Ord000134,2023-03-01,2023-03-16,Ekart,240.3,Lost,15,2023-03
Shp000135,Ord000135,2022-06-23,2022-06-24,Dtdc,638.58,In Transit,1,2022-06
Shp000137,Ord000137,2022-08-01,2022-08-16,Delhivery,425.57,Returned To Origin,15,2022-08
Shp000138,Ord000138,2024-10-02,2024-10-12,Indiapost,878.74,Returned To Origin,10,2024-10
Shp000139,Ord000139,2023-01-02,2023-01-07,Bluedart,473.02,In Transit,5,2023-01
Shp000140,Ord000140,2022-07-06,2022-07-11,Indiapost,174.3,Lost,5,2022-07
Shp000142,Ord000142,2022-06-12,2022-06-17,Fedex,156.28,In Transit,5,2022-06
Shp000143,Ord000143,2023-09-14,2023-09-17,Dtdc,620.2,Returned To Origin,3,2023-09
Shp000144,Ord000144,2024-06-14,2024-06-16,Indiapost,848.57,In Transit,2,2024-06
Shp000145,Ord000145,2022-06-23,2022-07-03,Xpressbees,133.57,Delivered,10,2022-06
Shp000148,Ord000148,2022-10-08,2022-10-15,Bluedart,529.06,In Transit,7,2022-10
Shp000149,Ord000149,2024-02-15,2024-02-19,Xpressbees,346.95,Delivered,4,2024-02
Shp000150,Ord000150,2024-10-26,2024-11-02,Delhivery,110.38,Delayed,7,2024-10
Shp000151,Ord000151,2022-06-25,2022-07-02,Dtdc,267.7,Returned To Origin,7,2022-06
Shp000152,Ord000152,2024-11-30,2024-12-06,Xpressbees,576.55,In Transit,6,2024-11
Shp000153,Ord000153,2023-07-26,2023-07-27,Ekart,38.48,In Transit,1,2023-07
Shp000154,Ord000154,2023-11-08,2023-11-18,Ekart,567.83,Delivered,10,2023-11
Shp000155,Ord000155,2022-03-29,2022-04-13,Bluedart,803.3,In Transit,15,2022-03
Shp000156,Ord000156,2022-04-07,2022-04-22,Delhivery,503.33,Delayed,15,2022-04
Shp000157,Ord000157,2024-02-15,2024-02-18,Dtdc,298.72,Returned To Origin,3,2024-02
Shp000158,Ord000158,2024-02-03,2024-02-06,Xpressbees,610.42,Lost,3,2024-02
Shp000159,Ord000159,2022-03-17,2022-03-24,Bluedart,98.94,Lost,7,2022-03
Shp000160,Ord000160,2023-01-07,2023-01-15,Xpressbees,458.52,Delayed,8,2023-01
Shp000161,Ord000161,2024-09-16,2024-09-17,Delhivery,278.14,Returned To Origin,1,2024-09
Shp000162,Ord000162,2024-09-10,2024-09-15,Xpressbees,256.35,In Transit,5,2024-09
Shp000163,Ord000163,2023-09-29,2023-10-03,Xpressbees,857.43,Delayed,4,2023-09
Shp000164,Ord000164,2022-05-19,2022-05-27,Bluedart,344.13,Delivered,8,2022-05
Shp000165,Ord000165,2024-05-15,2024-05-18,Indiapost,611.34,Delivered,3,2024-05
Shp000166,Ord000166,2022-03-04,2022-03-09,Fedex,501.15,Lost,5,2022-03
Shp000167,Ord000167,2022-03-17,2022-04-01,Indiapost,724.43,Delayed,15,2022-03
Shp000169,Ord000169,2023-12-15,2023-12-22,Fedex,289.13,Delivered,7,2023-12
Shp000611,Ord000611,2022-01-22,2022-01-24,Dtdc,650.54,Delayed,2,2022-01
Shp000170,Ord000170,2023-08-25,2023-08-31,Dtdc,522.92,In Transit,6,2023-08
Shp000171,Ord000171,2024-09-23,2024-09-26,Xpressbees,366.8,In Transit,3,2024-09
Shp000172,Ord000172,2022-10-05,2022-10-12,Fedex,571.58,In Transit,7,2022-10
Shp000174,Ord000174,2022-03-05,2022-03-15,Ekart,555.45,Lost,10,2022-03
Shp000175,Ord000175,2023-06-02,2023-06-10,Bluedart,,Delayed,8,2023-06
Shp000176,Ord000176,2023-03-15,2023-03-20,Indiapost,659.41,Lost,5,2023-03
Shp000177,Ord000177,2024-09-12,2024-09-14,Xpressbees,647.44,Delayed,2,2024-09
Shp000178,Ord000178,2023-05-17,2023-05-25,Delhivery,746.12,Lost,8,2023-05
Shp000179,Ord000179,2023-03-23,2023-03-29,Ekart,591.83,Delayed,6,2023-03
Shp000181,Ord000181,2022-02-21,2022-02-27,Delhivery,775.51,Returned To Origin,6,2022-02
Shp000182,Ord000182,2022-10-22,2022-10-30,Indiapost,487.81,Returned To Origin,8,2022-10
Shp000183,Ord000183,2024-06-16,2024-06-24,Xpressbees,620.22,Lost,8,2024-06
Shp000184,Ord000184,2023-04-15,2023-04-20,Dtdc,790.39,Delayed,5,2023-04
Shp000185,Ord000185,2022-03-16,2022-03-17,Ekart,811.3,In Transit,1,2022-03
Shp000186,Ord000186,2022-06-20,2022-06-25,Dtdc,585.14,Returned To Origin,5,2022-06
Shp000187,Ord000187,2023-09-21,2023-09-22,Delhivery,674.11,In Transit,1,2023-09
Shp000188,Ord000188,2022-02-13,2022-02-23,Bluedart,533.96,Delayed,10,2022-02
Shp000189,Ord000189,2024-05-08,2024-05-18,Indiapost,769.28,Lost,10,2024-05
Shp000191,Ord000191,2023-01-13,2023-01-28,Bluedart,198.83,Delayed,15,2023-01
Shp000193,Ord000193,2023-09-04,2023-09-12,Indiapost,650.13,Returned To Origin,8,2023-09
Shp000194,Ord000194,2022-09-11,2022-09-15,Dtdc,839.74,Returned To Origin,4,2022-09
Shp000195,Ord000195,2023-05-13,2023-05-17,Xpressbees,750.9,In Transit,4,2023-05
Shp000197,Ord000197,2024-06-01,2024-06-06,Fedex,418.41,In Transit,5,2024-06
Shp000198,Ord000198,2023-12-03,2023-12-09,Delhivery,609.25,Delivered,6,2023-12
Shp000199,Ord000199,2024-04-17,2024-04-20,Indiapost,301.56,Delayed,3,2024-04
Shp000200,Ord000200,2022-07-24,2022-07-25,Bluedart,480.89,In Transit,1,2022-07
Shp000202,Ord000202,2023-05-19,2023-05-20,Delhivery,241.65,Lost,1,2023-05
Shp000203,Ord000203,2024-10-22,2024-10-30,Fedex,133.43,Delivered,8,2024-10
Shp000205,Ord000205,2024-03-15,2024-03-30,Dtdc,70.94,Returned To Origin,15,2024-03
Shp000207,Ord000207,2024-04-26,2024-04-30,Xpressbees,878.75,Lost,4,2024-04
Shp000208,Ord000208,2022-01-17,2022-01-20,Fedex,517.0,Delivered,3,2022-01
Shp000211,Ord000211,2023-05-20,2023-05-26,Dtdc,335.34,In Transit,6,2023-05
Shp000213,Ord000213,2022-10-25,2022-10-29,Dtdc,39.63,Lost,4,2022-10
Shp000214,Ord000214,2024-10-06,2024-10-12,Bluedart,392.14,Delayed,6,2024-10
Shp000215,Ord000215,2022-05-24,2022-05-27,Indiapost,683.28,Delivered,3,2022-05
Shp000216,Ord000216,2022-01-13,2022-01-23,Dtdc,556.54,Returned To Origin,10,2022-01
Shp000217,Ord000217,2022-02-26,2022-03-03,Fedex,307.76,Returned To Origin,5,2022-02
Shp000218,Ord000218,2024-07-26,2024-07-29,Delhivery,777.6,Delivered,3,2024-07
Shp000219,Ord000219,2023-11-16,2023-11-17,Fedex,322.38,Lost,1,2023-11
Shp000220,Ord000220,2022-10-03,2022-10-08,Ekart,435.0,Lost,5,2022-10
Shp000221,Ord000221,2022-02-12,2022-02-18,Indiapost,639.39,Returned To Origin,6,2022-02
Shp000222,Ord000222,2023-04-13,2023-04-19,Ekart,240.29,Returned To Origin,6,2023-04
Shp000223,Ord000223,2023-06-17,2023-07-02,Ekart,338.96,In Transit,15,2023-06
Shp000224,Ord000224,2023-08-11,2023-08-16,Indiapost,645.92,Delivered,5,2023-08
Shp000226,Ord000226,2023-10-12,2023-10-19,Fedex,693.82,Delivered,7,2023-10
Shp000228,Ord000228,2023-10-21,2023-10-31,Ekart,848.42,Delayed,10,2023-10
Shp000229,Ord000229,2023-11-23,2023-11-29,Fedex,686.41,In Transit,6,2023-11
Shp000230,Ord000230,2023-08-22,2023-08-25,Xpressbees,626.21,Delivered,3,2023-08
Shp000231,Ord000231,2022-10-20,2022-10-25,Fedex,239.16,Returned To Origin,5,2022-10
Shp000234,Ord000234,2024-11-17,2024-11-20,Ekart,249.79,Delayed,3,2024-11
Shp000235,Ord000235,2024-09-06,2024-09-12,Bluedart,,Delayed,6,2024-09
Shp000239,Ord000239,2022-03-24,2022-03-27,Dtdc,36.57,In Transit,3,2022-03
Shp000240,Ord000240,2023-07-24,2023-07-29,Ekart,588.97,Delayed,5,2023-07
Shp000241,Ord000241,2023-08-30,2023-09-05,Indiapost,534.76,Returned To Origin,6,2023-08
Shp000242,Ord000242,2024-11-14,2024-11-15,Fedex,562.45,In Transit,1,2024-11
Shp000243,Ord000243,2024-09-21,2024-09-26,Xpressbees,529.31,Delayed,5,2024-09
Shp000244,Ord000244,2024-01-24,2024-01-28,Indiapost,598.82,Returned To Origin,4,2024-01
Shp000246,Ord000246,2022-04-09,2022-04-10,Delhivery,153.36,Delayed,1,2022-04
Shp000247,Ord000247,2024-09-24,2024-10-04,Indiapost,600.86,In Transit,10,2024-09
Shp000249,Ord000249,2024-02-01,2024-02-03,Delhivery,263.87,In Transit,2,2024-02
Shp000250,Ord000250,2024-02-26,2024-02-27,Dtdc,618.86,Delivered,1,2024-02
Shp000251,Ord000251,2024-07-04,2024-07-06,Bluedart,102.53,In Transit,2,2024-07
Shp000252,Ord000252,2022-03-12,2022-03-15,Ekart,402.41,Lost,3,2022-03
Shp000253,Ord000253,2023-05-30,2023-06-02,Delhivery,198.82,In Transit,3,2023-05
Shp000254,Ord000254,2022-09-05,2022-09-09,Dtdc,719.15,Delivered,4,2022-09
Shp000255,Ord000255,2022-05-05,2022-05-10,Indiapost,657.82,Delayed,5,2022-05
Shp000257,Ord000257,2023-01-20,2023-01-23,Ekart,92.03,Delayed,3,2023-01
Shp000258,Ord000258,2024-07-31,2024-08-07,Delhivery,48.39,Lost,7,2024-07
Shp000259,Ord000259,2022-03-23,2022-03-26,Ekart,273.56,Delivered,3,2022-03
Shp000261,Ord000261,2023-05-28,2023-05-31,Delhivery,677.16,Lost,3,2023-05
Shp000262,Ord000262,2022-05-13,2022-05-18,Dtdc,782.77,In Transit,5,2022-05
Shp000264,Ord000264,2022-08-13,2022-08-28,Indiapost,133.19,Lost,15,2022-08
Shp000266,Ord000266,2022-03-20,2022-03-25,Delhivery,187.2,In Transit,5,2022-03
Shp000267,Ord000267,2024-02-19,2024-02-26,Delhivery,69.57,Lost,7,2024-02
Shp000268,Ord000268,2024-02-15,2024-03-01,Indiapost,130.51,Returned To Origin,15,2024-02
Shp000269,Ord000269,2024-02-04,2024-02-07,Indiapost,185.42,Delivered,3,2024-02
Shp000270,Ord000270,2023-07-16,2023-07-21,Dtdc,658.6,Delayed,5,2023-07
Shp000271,Ord000271,2023-11-06,2023-11-08,Delhivery,848.32,Delayed,2,2023-11
Shp000272,Ord000272,2023-06-03,2023-06-09,Fedex,409.17,In Transit,6,2023-06
Shp000273,Ord000273,2022-07-23,2022-07-26,Indiapost,540.92,Delivered,3,2022-07
Shp000277,Ord000277,2024-05-13,2024-05-17,Delhivery,,Returned To Origin,4,2024-05
Shp000278,Ord000278,2022-06-21,2022-06-26,Bluedart,213.74,Returned To Origin,5,2022-06
Shp000279,Ord000279,2023-12-12,2023-12-20,Xpressbees,,Returned To Origin,8,2023-12
Shp000280,Ord000280,2022-02-05,2022-02-13,Bluedart,136.86,Delivered,8,2022-02
Shp000281,Ord000281,2023-08-24,2023-08-29,Bluedart,144.4,Delivered,5,2023-08
Shp000282,Ord000282,2023-08-07,2023-08-12,Dtdc,507.91,Delivered,5,2023-08
Shp000283,Ord000283,2023-11-21,2023-12-01,Dtdc,387.49,In Transit,10,2023-11
Shp000284,Ord000284,2022-08-11,2022-08-17,Dtdc,352.4,Delivered,6,2022-08
Shp000285,Ord000285,2022-03-25,2022-03-26,Ekart,436.42,In Transit,1,2022-03
Shp000286,Ord000286,2022-12-12,2022-12-15,Xpressbees,786.57,Returned To Origin,3,2022-12
Shp000287,Ord000287,2023-06-09,2023-06-11,Bluedart,575.23,Lost,2,2023-06
Shp000288,Ord000288,2022-09-22,2022-09-25,Delhivery,731.02,Delayed,3,2022-09
Shp000289,Ord000289,2023-03-25,2023-03-29,Bluedart,719.0,In Transit,4,2023-03
Shp000290,Ord000290,2023-09-30,2023-10-04,Fedex,173.94,Returned To Origin,4,2023-09
Shp000292,Ord000292,2022-03-15,2022-03-18,Xpressbees,870.4,Lost,3,2022-03
Shp000293,Ord000293,2024-11-21,2024-11-29,Dtdc,523.48,Delayed,8,2024-11
Shp000294,Ord000294,2023-03-05,2023-03-20,Delhivery,738.98,Returned To Origin,15,2023-03
Shp000295,Ord000295,2022-06-17,2022-06-22,Indiapost,447.35,In Transit,5,2022-06
Shp000296,Ord000296,2022-12-09,2022-12-13,Ekart,658.76,Delivered,4,2022-12
Shp000297,Ord000297,2023-08-02,2023-08-05,Bluedart,30.12,Lost,3,2023-08
Shp000298,Ord000298,2022-02-12,2022-02-27,Indiapost,190.55,Delayed,15,2022-02
Shp000299,Ord000299,2024-11-29,2024-12-04,Xpressbees,894.33,Delayed,5,2024-11
Shp000300,Ord000300,2022-11-04,2022-11-14,Dtdc,374.52,Delivered,10,2022-11
Shp000301,Ord000301,2023-12-22,2023-12-27,Ekart,236.62,Returned To Origin,5,2023-12
Shp000302,Ord000302,2022-02-18,2022-03-05,Fedex,702.76,In Transit,15,2022-02
Shp000303,Ord000303,2024-07-25,2024-08-09,Bluedart,500.07,Delayed,15,2024-07
Shp000305,Ord000305,2024-11-27,2024-11-30,Indiapost,839.17,Returned To Origin,3,2024-11
Shp000308,Ord000308,2022-09-14,2022-09-18,Xpressbees,418.98,Delivered,4,2022-09
Shp000310,Ord000310,2024-08-29,2024-09-13,Ekart,143.24,Delayed,15,2024-08
Shp000311,Ord000311,2023-04-16,2023-04-18,Fedex,662.21,Returned To Origin,2,2023-04
Shp000312,Ord000312,2023-04-17,2023-04-20,Delhivery,565.33,In Transit,3,2023-04
Shp000313,Ord000313,2024-03-29,2024-03-31,Delhivery,532.21,In Transit,2,2024-03
Shp000316,Ord000316,2022-06-21,2022-06-24,Indiapost,305.23,Lost,3,2022-06
Shp000317,Ord000317,2022-06-25,2022-06-27,Ekart,357.41,Delivered,2,2022-06
Shp000318,Ord000318,2023-04-19,2023-05-04,Ekart,298.51,Lost,15,2023-04
Shp000319,Ord000319,2023-09-13,2023-09-28,Indiapost,248.4,Returned To Origin,15,2023-09
Shp000320,Ord000320,2024-04-07,2024-04-15,Fedex,867.78,Returned To Origin,8,2024-04
Shp000321,Ord000321,2023-04-25,2023-05-03,Ekart,861.83,In Transit,8,2023-04
Shp000322,Ord000322,2022-03-16,2022-03-22,Fedex,551.55,Delayed,6,2022-03
Shp000323,Ord000323,2024-07-23,2024-08-02,Indiapost,264.29,In Transit,10,2024-07
Shp000325,Ord000325,2022-05-09,2022-05-12,Bluedart,768.94,Lost,3,2022-05
Shp000326,Ord000326,2023-01-11,2023-01-12,Fedex,,Delayed,1,2023-01
Shp000327,Ord000327,2024-02-06,2024-02-21,Ekart,511.57,In Transit,15,2024-02
Shp000328,Ord000328,2024-08-17,2024-08-21,Fedex,524.36,In Transit,4,2024-08
Shp000329,Ord000329,2024-04-27,2024-05-03,Indiapost,441.63,Delivered,6,2024-04
Shp000330,Ord000330,2024-09-02,2024-09-17,Xpressbees,547.97,Delivered,15,2024-09
Shp000331,Ord000331,2022-02-11,2022-02-12,Ekart,61.43,In Transit,1,2022-02
Shp000332,Ord000332,2022-05-30,2022-06-05,Fedex,223.8,In Transit,6,2022-05
Shp000333,Ord000333,2023-03-10,2023-03-14,Ekart,699.68,In Transit,4,2023-03
Shp000334,Ord000334,2023-09-27,2023-10-04,Bluedart,259.21,Delivered,7,2023-09
Shp000335,Ord000335,2024-06-25,2024-07-02,Delhivery,701.13,Returned To Origin,7,2024-06
Shp000336,Ord000336,2023-02-19,2023-03-01,Delhivery,155.93,Returned To Origin,10,2023-02
Shp000337,Ord000337,2024-07-16,2024-07-19,Delhivery,842.53,Lost,3,2024-07
Shp000338,Ord000338,2023-04-03,2023-04-04,Delhivery,126.43,Delayed,1,2023-04
Shp000339,Ord000339,2024-08-26,2024-09-02,Dtdc,710.36,In Transit,7,2024-08
Shp000341,Ord000341,2022-10-08,2022-10-18,Bluedart,378.42,Returned To Origin,10,2022-10
Shp000342,Ord000342,2023-06-06,2023-06-11,Dtdc,595.39,Lost,5,2023-06
Shp000344,Ord000344,2023-03-19,2023-03-21,Ekart,626.14,In Transit,2,2023-03
Shp000345,Ord000345,2024-04-16,2024-04-24,Indiapost,54.42,Delivered,8,2024-04
Shp000346,Ord000346,2024-02-07,2024-02-13,Delhivery,34.08,Lost,6,2024-02
Shp000347,Ord000347,2024-05-21,2024-05-29,Indiapost,610.3,Lost,8,2024-05
